# smart_rehome 2026-04-07T00:34:52.854Z
assets/obstacles/urban/Obstacle_Urban_Prop_076483e5.png ? assets/units/vehicles/Obstacle_Urban_Prop_076483e5.png | vehicle | from_root_tmp/tmp_vehicle_cell_strip.png →
assets/obstacles/urban/Obstacle_Urban_Prop_ab4081d7.png ? assets/units/vehicles/Obstacle_Urban_Prop_ab4081d7.png | vehicle | from_root_tmp/tmp_vehicle_cell_strip.png →
assets/obstacles/urban/Obstacle_Urban_Prop_6524b622.png ? assets/units/vehicles/Obstacle_Urban_Prop_6524b622.png | vehicle | _tmp_vehicle_cells/ev_0.png →
assets/obstacles/urban/Obstacle_Urban_Prop_94fd0651.png ? assets/units/vehicles/Obstacle_Urban_Prop_94fd0651.png | vehicle | _tmp_vehicle_cells/ev_1.png →
assets/obstacles/urban/Obstacle_Urban_Prop_0b03f02e.png ? assets/units/vehicles/Obstacle_Urban_Prop_0b03f02e.png | vehicle | _tmp_vehicle_cells/ev_10.png →
assets/obstacles/urban/Obstacle_Urban_Prop_8bc2f606.png ? assets/units/vehicles/Obstacle_Urban_Prop_8bc2f606.png | vehicle | _tmp_vehicle_cells/ev_11.png →
assets/obstacles/urban/Obstacle_Urban_Prop_c6521eb2.png ? assets/units/vehicles/Obstacle_Urban_Prop_c6521eb2.png | vehicle | _tmp_vehicle_cells/ev_12.png →
assets/obstacles/urban/Obstacle_Urban_Prop_dd3edbb6.png ? assets/units/vehicles/Obstacle_Urban_Prop_dd3edbb6.png | vehicle | _tmp_vehicle_cells/ev_13.png →
assets/obstacles/urban/Obstacle_Urban_Prop_08f98307.png ? assets/units/vehicles/Obstacle_Urban_Prop_08f98307.png | vehicle | _tmp_vehicle_cells/ev_14.png →
assets/obstacles/urban/Obstacle_Urban_Prop_92c0f35a.png ? assets/units/vehicles/Obstacle_Urban_Prop_92c0f35a.png | vehicle | _tmp_vehicle_cells/ev_15.png →
assets/obstacles/urban/Obstacle_Urban_Prop_14d8ec31.png ? assets/units/vehicles/Obstacle_Urban_Prop_14d8ec31.png | vehicle | _tmp_vehicle_cells/ev_16.png →
assets/obstacles/urban/Obstacle_Urban_Prop_a7e47133.png ? assets/units/vehicles/Obstacle_Urban_Prop_a7e47133.png | vehicle | _tmp_vehicle_cells/ev_17.png →
assets/obstacles/urban/Obstacle_Urban_Prop_7eaf67b8.png ? assets/units/vehicles/Obstacle_Urban_Prop_7eaf67b8.png | vehicle | _tmp_vehicle_cells/ev_18.png →
assets/obstacles/urban/Obstacle_Urban_Prop_b238d5ef.png ? assets/units/vehicles/Obstacle_Urban_Prop_b238d5ef.png | vehicle | _tmp_vehicle_cells/ev_19.png →
assets/obstacles/urban/Obstacle_Urban_Prop_2b6f735f.png ? assets/units/vehicles/Obstacle_Urban_Prop_2b6f735f.png | vehicle | _tmp_vehicle_cells/ev_2.png →
assets/obstacles/urban/Obstacle_Urban_Prop_68f47d7c.png ? assets/units/vehicles/Obstacle_Urban_Prop_68f47d7c.png | vehicle | _tmp_vehicle_cells/ev_3.png →
assets/obstacles/urban/Obstacle_Urban_Prop_f02f29b1.png ? assets/units/vehicles/Obstacle_Urban_Prop_f02f29b1.png | vehicle | _tmp_vehicle_cells/ev_4.png →
assets/obstacles/urban/Obstacle_Urban_Prop_3278bfec.png ? assets/units/vehicles/Obstacle_Urban_Prop_3278bfec.png | vehicle | _tmp_vehicle_cells/ev_5.png →
assets/obstacles/urban/Obstacle_Urban_Prop_786c0f3a.png ? assets/units/vehicles/Obstacle_Urban_Prop_786c0f3a.png | vehicle | _tmp_vehicle_cells/ev_6.png →
assets/obstacles/urban/Obstacle_Urban_Prop_162f599e.png ? assets/units/vehicles/Obstacle_Urban_Prop_162f599e.png | vehicle | _tmp_vehicle_cells/ev_7.png →
assets/obstacles/urban/Obstacle_Urban_Prop_38a709a5.png ? assets/units/vehicles/Obstacle_Urban_Prop_38a709a5.png | vehicle | _tmp_vehicle_cells/ev_8.png →
assets/obstacles/urban/Obstacle_Urban_Prop_d016b68c.png ? assets/units/vehicles/Obstacle_Urban_Prop_d016b68c.png | vehicle | _tmp_vehicle_cells/ev_9.png →
assets/obstacles/urban/Obstacle_Urban_Strip_a06db329.png ? assets/units/vehicles/Obstacle_Urban_Strip_a06db329.png | vehicle | _tmp_vehicle_cells/plane_try_15_45.png →
assets/obstacles/urban/Obstacle_Urban_Strip_2b191cc6.png ? assets/units/vehicles/Obstacle_Urban_Strip_2b191cc6.png | vehicle | _tmp_vehicle_cells/plane_try_22_31.png →
assets/obstacles/urban/Obstacle_Urban_Strip_d81af864.png ? assets/units/vehicles/Obstacle_Urban_Strip_d81af864.png | vehicle | _tmp_vehicle_cells/plane_try_31_42.png →
assets/obstacles/urban/Obstacle_Urban_Strip_9ef7b88e.png ? assets/units/vehicles/Obstacle_Urban_Strip_9ef7b88e.png | vehicle | _tmp_vehicle_cells/plane_try_42_62.png →
assets/obstacles/urban/Obstacle_Urban_Strip_3ef9a1b8.png ? assets/units/vehicles/Obstacle_Urban_Strip_3ef9a1b8.png | vehicle | _tmp_vehicle_cells/plane_try_7_22.png →
assets/tiles/urban/Tile_Urban_Tile_1aa21b46.png ? assets/vfx/Tile_Urban_Tile_1aa21b46.png | vfx | PNG battle tanks plus more/Effects/Exhaust_Fire.png →
assets/tiles/urban/Tile_Urban_Tile_8687d94e.png ? assets/vfx/Tile_Urban_Tile_8687d94e.png | vfx | PNG battle tanks plus more/Effects/Explosion_A.png →
assets/tiles/urban/Tile_Urban_Tile_e47537f7.png ? assets/vfx/Tile_Urban_Tile_e47537f7.png | vfx | PNG battle tanks plus more/Effects/Explosion_B.png →
assets/tiles/urban/Tile_Urban_Tile_4763315e.png ? assets/vfx/Tile_Urban_Tile_4763315e.png | vfx | PNG battle tanks plus more/Effects/Explosion_C.png →
assets/tiles/urban/Tile_Urban_Tile_41f6ac82.png ? assets/vfx/Tile_Urban_Tile_41f6ac82.png | vfx | PNG battle tanks plus more/Effects/Explosion_D.png →
assets/tiles/urban/Tile_Urban_Tile_38c466e5.png ? assets/vfx/Tile_Urban_Tile_38c466e5.png | vfx | PNG battle tanks plus more/Effects/Explosion_E.png →
